VehicleID,Time,LaneID,Lateral,Longitudinal,Speed,Speed_kph,Acceleration,VehicleLength,Width,Gap,Headway
3,8.200000000000001,4,0.0,64.00000000000003,16.0,57.6,0.0,5.7,1.7,0.0,2
4,8.200000000000001,4,0.0,33.60000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
5,8.200000000000001,4,0.0,3.2,16.0,57.6,0.0,5.7,1.7,0.0,2
1,8.3,4,0.0,126.3999999999998,16.0,57.6,0.0,5.7,1.7,0.0,2
2,8.3,4,0.0,95.99999999999991,16.0,57.6,0.0,5.7,1.7,0.0,2
3,8.3,4,0.0,65.60000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
4,8.3,4,0.0,35.20000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
5,8.3,4,0.0,4.800000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
1,8.4,4,0.0,127.9999999999998,16.0,57.6,0.0,5.7,1.7,0.0,2
2,8.4,4,0.0,97.59999999999991,16.0,57.6,0.0,5.7,1.7,0.0,2
3,8.4,4,0.0,67.20000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
4,8.4,4,0.0,36.80000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
5,8.4,4,0.0,6.4,16.0,57.6,0.0,5.7,1.7,0.0,2
1,8.5,4,0.0,129.5999999999998,16.0,57.6,0.0,5.7,1.7,0.0,2
2,8.5,4,0.0,99.1999999999999,16.0,57.6,0.0,5.7,1.7,0.0,2
3,8.5,4,0.0,68.80000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
4,8.5,4,0.0,38.40000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
5,8.5,4,0.0,8.0,16.0,57.6,0.0,5.7,1.7,0.0,2
1,8.6,4,0.0,131.1999999999998,16.0,57.6,0.0,5.7,1.7,0.0,2
2,8.6,4,0.0,100.7999999999999,16.0,57.6,0.0,5.7,1.7,0.0,2
3,8.6,4,0.0,70.4,16.0,57.6,0.0,5.7,1.7,0.0,2
4,8.6,4,0.0,40.000000000000014,16.0,57.6,0.0,5.7,1.7,0.0,2
5,8.6,4,0.0,9.6,16.0,57.6,0.0,5.7,1.7,0.0,2
1,8.700000000000001,4,0.0,132.79999999999978,16.0,57.6,0.0,5.7,1.7,0.0,2
2,8.700000000000001,4,0.0,102.39999999999989,16.0,57.6,0.0,5.7,1.7,0.0,2
3,8.700000000000001,4,0.0,72.0,16.0,57.6,0.0,5.7,1.7,0.0,2
4,8.700000000000001,4,0.0,41.600000000000016,16.0,57.6,0.0,5.7,1.7,0.0,2
5,8.700000000000001,4,0.0,11.2,16.0,57.6,0.0,5.7,1.7,0.0,2
1,8.8,4,0.0,134.39999999999978,16.0,57.6,0.0,5.7,1.7,0.0,2
2,8.8,4,0.0,103.99999999999989,16.0,57.6,0.0,5.7,1.7,0.0,2
3,8.8,4,0.0,73.6,16.0,57.6,0.0,5.7,1.7,0.0,2
4,8.8,4,0.0,43.20000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
5,8.8,4,0.0,12.799999999999999,16.0,57.6,0.0,5.7,1.7,0.0,2
1,8.9,4,0.0,135.99999999999977,16.0,57.6,0.0,5.7,1.7,0.0,2
2,8.9,4,0.0,105.59999999999988,16.0,57.6,0.0,5.7,1.7,0.0,2
3,8.9,4,0.0,75.19999999999999,16.0,57.6,0.0,5.7,1.7,0.0,2
4,8.9,4,0.0,44.80000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
5,8.9,4,0.0,14.399999999999999,16.0,57.6,0.0,5.7,1.7,0.0,2
1,9.0,4,0.0,137.59999999999977,16.0,57.6,0.0,5.7,1.7,0.0,2
2,9.0,4,0.0,107.19999999999987,16.0,57.6,0.0,5.7,1.7,0.0,2
3,9.0,4,0.0,76.79999999999998,16.0,57.6,0.0,5.7,1.7,0.0,2
4,9.0,4,0.0,46.40000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
5,9.0,4,0.0,15.999999999999998,16.0,57.6,0.0,5.7,1.7,0.0,2
1,9.1,4,0.0,139.19999999999976,16.0,57.6,0.0,5.7,1.7,0.0,2
2,9.1,4,0.0,108.79999999999987,16.0,57.6,0.0,5.7,1.7,0.0,2
3,9.1,4,0.0,78.39999999999998,16.0,57.6,0.0,5.7,1.7,0.0,2
4,9.1,4,0.0,48.00000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
5,9.1,4,0.0,17.599999999999998,16.0,57.6,0.0,5.7,1.7,0.0,2
1,9.200000000000001,4,0.0,140.79999999999976,16.0,57.6,0.0,5.7,1.7,0.0,2
2,9.200000000000001,4,0.0,110.39999999999986,16.0,57.6,0.0,5.7,1.7,0.0,2
3,9.200000000000001,4,0.0,79.99999999999997,16.0,57.6,0.0,5.7,1.7,0.0,2
4,9.200000000000001,4,0.0,49.60000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
5,9.200000000000001,4,0.0,19.2,16.0,57.6,0.0,5.7,1.7,0.0,2
1,9.3,4,0.0,142.39999999999975,16.0,57.6,0.0,5.7,1.7,0.0,2
2,9.3,4,0.0,111.99999999999986,16.0,57.6,0.0,5.7,1.7,0.0,2
3,9.3,4,0.0,81.59999999999997,16.0,57.6,0.0,5.7,1.7,0.0,2
4,9.3,4,0.0,51.200000000000024,16.0,57.6,0.0,5.7,1.7,0.0,2
5,9.3,4,0.0,20.8,16.0,57.6,0.0,5.7,1.7,0.0,2
1,9.4,4,0.0,143.99999999999974,16.0,57.6,0.0,5.7,1.7,0.0,2
2,9.4,4,0.0,113.59999999999985,16.0,57.6,0.0,5.7,1.7,0.0,2
3,9.4,4,0.0,83.19999999999996,16.0,57.6,0.0,5.7,1.7,0.0,2
4,9.4,4,0.0,52.800000000000026,16.0,57.6,0.0,5.7,1.7,0.0,2
5,9.4,4,0.0,22.400000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
1,9.5,4,0.0,145.59999999999974,16.0,57.6,0.0,5.7,1.7,0.0,2
2,9.5,4,0.0,115.19999999999985,16.0,57.6,0.0,5.7,1.7,0.0,2
3,9.5,4,0.0,84.79999999999995,16.0,57.6,0.0,5.7,1.7,0.0,2
4,9.5,4,0.0,54.40000000000003,16.0,57.6,0.0,5.7,1.7,0.0,2
5,9.5,4,0.0,24.000000000000004,16.0,57.6,0.0,5.7,1.7,0.0,2
1,9.600000000000001,4,0.0,147.19999999999973,16.0,57.6,0.0,5.7,1.7,0.0,2
